노선번호,도로명,도로등급구분코드,시작노드ID,종료노드ID,도로단축명,도로표출명,시점명,종점명,소통원활기준속도,정체기준속도
10,경부선,101,491,476,경부선,경부,부산,서울,80,40
100,남해선(순천-부산),101,222,3,남해선,남해,순천,부산,80,40
101,남해선(영암-순천),101,548,561,남해선,남해선,영암,순천,80,40
105,부산신항선,109,620,624,부산신항선,부산신항,신항,김해,80,40
120,광주대구선,101,197,16,광주대구선,광주대구,광주,대구,80,40
121,무안광주선,101,361,471,무안광주선,무안광주,무안,광주,80,40
140,고창담양선,101,373,347,고창담양선,고창담양,고창,담양,80,40
141,함양울산선,101,1025,1028,함양울산선,함양울산,함양,울산,80,40
150,서해안선,101,192,231,서해안선,서해안,목포,서울,80,40
153,평택시흥선,109,303,569,평택시흥선,평택시흥,평택,시흥,80,40
160,울산선,101,204,444,울산선,울산,언양,울산,80,40
170,평택화성선,109,427,424,평택화성선,평택화성,오성,안녕,80,40
171,오산화성선,109,431,434,오산화성선,오산화성선,서오산JC,안녕,80,40
172,서울문산선,109,1014,1023,서울문산선,서울문산,서울,문산,80,40
173,서울문산지선,109,1024,1015,서울문산지선,서울문산지선,남고양,봉대산,50,30
174,수원광명선,109,305,323,수원광명선,수원광명,수원,광명,80,40
200,대구포항선,101,18,119,대구포항선,대구포항,대구,포항,80,40
201,익산장수선,101,370,184,익산장수선,익산장수,익산,장수,80,40
251,호남선,101,222,170,호남선,호남,순천,천안,80,40
252,논산천안선,109,170,50,논산천안선,논산천안,논산,천안,80,40
270,순천완주선,101,546,547,순천완주선,순천완주,순천,완주,80,40
290,구리포천선,108,636,645,구리포천선,구리포천,구리,포천,80,40
300,청주영덕선,101,362,618,청주영덕선,청주영덕,청주,영덕,80,40
301,당진대전선,101,53,421,당진대전선,당진대전,당진,대전,80,40
320,옥산오창선,109,673,675,옥산오창선,옥산오창,옥산,오창,80,40
321,당진청주선(아산-천안),101,1072,50,당진청주선,당진청주,당진,청주,80,40
351,통영대전선,101,229,108,통영대전선,통영대전,통영,대전,80,40
352,중부선,101,67,253,중부선,중부,남이,하남,80,40
370,제2중부선,101,264,265,제2중부선,제2중부,이천,하남,80,40
400,평택제천선,101,303,578,평택제천선,평택제천,평택,제천,80,40
450,중부내륙선,101,144,565,중부내륙선,중부내륙,창원,양평,80,40
500,영동선,101,287,24,영동선,영동,인천,강릉,80,40
520,광주원주선,109,596,604,광주원주선,광주원주,광주,원주,80,40
550,중앙선,101,5,457,중앙선,중앙,부산,춘천,80,40
552,대구부산선,109,147,10,대구부산선,대구부산,부산,대구,80,40
600,서울양양선,101,235,605,서울양양선,서울양양,서울,양양,80,40
650,동해선(삼척-속초),101,594,607,동해선,동해,삼척,속초,80,40
651,부산울산선,108,386,405,부산울산선,부산울산,부산,울산,80,40
652,동해선(부산-포항),101,405,583,동해선,동해,부산,포항,80,40
700,대구외곽순환선,101,1047,10,대구외곽선,대구외곽,달서,상매,50,30
1000,수도권제1순환선,101,273,263,서울외곽선,서울외곽,판교-일산,판교-구리,80,40
1020,남해1지선,101,124,145,남해1지선,남해1지,함안,창원,80,40
1040,남해2지선,101,139,7,남해2지선,남해2지,김해,서부산,80,40
1100,제2경인선,101,285,324,제2경인선,제2경인,인천,성남,80,40
1102,인천대교선,109,435,441,인천대교선,인천대교,공항,송도,80,40
1103,인천대교지선,109,438,439,인천대교지선,인천대교지선,연수,송도,80,40
1200,경인선,101,284,234,경인선,경인,인천,서울,80,40
1201,서울제물포선,109,234,1033,서울제물포선,서울제물포,제물포,서울,80,40
1300,인천공항선,109,478,282,인천공항선,인천공항,공항,서울,80,40
1510,서천공주선,101,481,412,서천공주선,서천공주,서천,공주,80,40
1710,용인서울선,109,397,394,용인서울선,용인서울,용인,서울,80,40
2510,호남지선,101,170,102,호남지선,호남지,논산,대전,80,40
3000,대전남부선,101,99,106,대전남부선,대전남부,서대전,산내,80,40
3010,상주영천선,109,369,1012,상주영천선,상주영천,상주,영천,80,40
3300,제3경인선,109,505,315,제3경인선,제3경인,인천,시흥,80,40
4000,봉담동탄선,109,432,431,봉담동탄선,봉담동탄,동탄,봉담,80,40
4001,인천김포선,109,625,630,인천김포선,인천김포,인천,김포,80,40
4002,구리포천지선,108,642,647,구리포천지선,구리포천지,양주,소흘,80,40
4003,봉담송산선,109,1034,1044,봉담송산선,봉담송산,봉담,송산,80,40
4004,화성광주선,109,684,691,화성광주선,화성광주,화성광주선시점,곤지암JC,80,40
4005,수도권제2순환선(화도-양평),101,565,1068,수도권제2순환선,수도권제2순환,양평,화도,80,40
4006,수도권제2순환선(시화MTV),109,1075,1076,시화MTV,시화MTV,시화,안산,80,40
4510,중부내륙지선,101,354,13,중부내륙지선,중부내륙지,창원,대구,80,40
5000,광주외곽순환선,101,1064,1066,광주외곽선,광주외곽,남광산,남장성,80,40
5510,중앙선지선,101,147,155,중앙지선,중앙지,김해,양산,80,40
6000,부산외곽선,101,663,445,부산외곽,부산외곽선,창원,기장,80,40
