"SUM_YRMTH","CZN_CD","COCT_CD","TRFFCVLM","SPD_AVG","PASNG_RUNTM_MINS","NMLT_CSCNT","REVISN_CSCNT","PSTM_STDV","PASNG_TM_CHANGE_CFFCN","MAX_PASNG_TM_MINS","MEDIAN_PASNG_TM_MINS","MINM_PASNG_TM_MINS","F15T85_PASNG_RUNTM_QNTL","LAST_CHANGE_DAYHMINSEC","ST_ND_NM","ST_ND_GPS_LAT","ST_ND_GPS_LONG","END_ND_NM","END_ND_GPS_LAT","END_ND_GPS_LONG"
"202310","1040CZE030","1","689811","92.56","77","86856","2360","0.93","0.01","79","78","76","2","20231101083112","서부산TG","35.156691","128.947064","가락IC","35.165139","128.896716"
"202310","1040CZS040","1","1187449","94.39","212","89225","22","6.76","0.03","237","214","202","24","20231101083112","서부산IC","35.156004","128.951651","가락IC","35.165139","128.896716"
"202310","0100CZS290","1","1000290","89.06","115","88513","734","2.00","0.01","119","115","111","5","20231101083112","덕천IC","35.214906","129.008186","대저JC","35.219301","128.974349"
"202310","0100CZE285","1","942162","96.51","119","89225","21","5.07","0.04","132","117","113","13","20231101083112","북부산TG","35.221307","128.940883","대저JC","35.219301","128.974349"
"202310","0550CZS020","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20231101083112","초정IC","35.233765","128.980207","대저JC","35.219301","128.974349"
"202310","0010CZS010","1","977484","88.28","74","87410","1377","0.81","0.01","76","74","73","2","20231101083112","영락IC","35.273493","129.108684","구서IC","35.246178","129.092822"
"202310","0100CZE290","1","886585","79.68","129","89066","180","5.67","0.04","139","129","118","14","20231101083112","대저JC","35.219301","128.974349","덕천IC","35.214906","129.008186"
"202310","1040CZE040","1","1060295","98.40","204","89225","22","8.06","0.03","227","204","193","23","20231101083112","가락IC","35.165139","128.896716","서부산IC","35.156004","128.951651"
"202310","0010CZS090","1","894100","98.50","380","89224","28","10.10","0.02","393","383","361","22","20231101083112","건천IC","35.843725","129.085261","경주IC","35.807377","129.184893"
"202310","0010CZE085","1","847352","102.45","388","89225","22","12.17","0.03","404","392","368","25","20231101083112","활천IC","","","경주IC","35.807377","129.184893"
"202310","0010CZS100","1","967115","93.84","467","89224","27","10.40","0.02","479","471","449","21","20231101083112","영천JC","","","건천IC","35.843725","129.085261"
"202310","0010CZE090","1","949795","98.52","379","89224","28","11.99","0.03","395","383","359","25","20231101083112","경주IC","35.807377","129.184893","건천IC","35.843725","129.085261"
"202310","0010CZS130","1","1446265","95.17","154","89165","19","3.92","0.02","158","155","147","7","20231101083112","도동JC","35.912552","128.662699","동대구JC","35.886186","128.693814"
"202310","0010CZE120","1","1180388","91.22","365","0","0","9.13","0.02","376","370","349","18","20231101083112","경산IC","35.876890","128.789802","동대구JC","35.886186","128.693814"
"202310","0552CZE120","1","1082581","88.43","101","8925","0","2.98","0.02","106","102","96","7","20231101083112","동대구IC","35.864978","128.686229","동대구JC","35.886186","128.693814"
"202310","0550CZE130","1","743352","97.38","179","89171","80","4.02","0.02","188","180","172","11","20231101083112","금호JC","35.892622","128.525227","칠곡IC","35.935239","128.535347"
"202310","0550CZS140","1","645282","100.05","187","88577","3","3.57","0.01","193","187","181","8","20231101083112","동명동호IC","","","칠곡IC","35.935239","128.535347"
"202310","0010CZS150","1","2559214","91.53","215","89167","27","6.44","0.02","225","216","204","14","20231101083112","금호JC","35.892622","128.525227","북대구IC","35.909533","128.583284"
"202310","0010CZE140","1","1871247","98.80","279","88676","0","8.95","0.03","293","283","263","21","20231101083112","도동JC","35.912552","128.662699","북대구IC","35.909533","128.583284"
"202310","0550CZS130","1","731644","94.68","184","89211","39","2.80","0.01","189","185","180","6","20231101083112","칠곡IC","35.935239","128.535347","금호JC","35.892622","128.525227"
"202310","0010CZE150","1","2422203","93.00","212","89077","30","7.48","0.03","226","214","196","21","20231101083112","북대구IC","35.909533","128.583284","금호JC","35.892622","128.525227"
"202310","4510CZE080","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20231101083112","서대구TG","35.879705","128.529925","금호JC","35.892622","128.525227"
"202310","0010CZS160","1","1971006","95.29","153","0","0","4.82","0.03","174","153","147","18","20231101083112","칠곡JC","","","금호JC","35.892622","128.525227"
"202310","4510CZS040","1","1649619","95.40","98","88998","0","3.33","0.03","102","99","92","7","20231101083112","유천 하이패스IC","","","화원옥포IC","35.801066","128.483013"
"202310","4510CZE020","1","-1","0.00","-1","8923","7","0.00","0.00","0","0","0","0","20231101083112","달성IC","35.768897","128.474407","옥포JC","35.791730","128.463921"
"202310","0120CZE230","1","652338","95.69","361","0","0","5.60","0.01","368","363","350","12","20231101083112","고령JC","35.757729","128.372588","옥포JC","35.791730","128.463921"
"202310","4510CZS020","1","-1","0.00","-1","8923","7","0.00","0.00","0","0","0","0","20231101083112","옥포JC","35.791730","128.463921","달성IC","35.768897","128.474407"
"202310","4510CZE015","1","688258","92.07","363","89091","21","18.03","0.04","440","368","344","67","20231101083112","북현풍 하이패스 IC","","","달성IC","35.768897","128.474407"
"202310","0010CZE130","1","1521179","94.37","156","89169","80","4.57","0.02","161","158","147","9","20231101083112","동대구JC","35.886186","128.693814","도동JC","35.912552","128.662699"
"202310","0010CZS140","1","1755594","94.25","293","88738","0","8.90","0.03","303","295","276","18","20231101083112","북대구IC","35.909533","128.583284","도동JC","35.912552","128.662699"
"202310","0200CZS060","1","664222","90.64","714","89222","29","12.41","0.01","746","715","693","37","20231101083112","청통와촌IC","35.970335","128.829157","도동JC","35.912552","128.662699"
"202310","4510CZE045","1","761312","100.37","116","0","0","3.32","0.02","120","118","110","7","20231101083112","유천 하이패스IC","","","남대구IC","35.836506","128.527613"
"202310","0010CZS270","1","928959","93.53","333","89255","25","10.06","0.03","354","337","316","26","20231101083112","비룡JC","36.345100","127.482550","옥천IC","36.313954","127.563113"
"202310","0010CZE260","1","678554","81.19","505","89240","22","41.93","0.08","584","518","436","103","20231101083112","금강IC","36.279818","127.673628","옥천IC","36.313954","127.563113"
"202310","0650CZE140","1","322695","107.59","309","45189","33","6.01","0.01","323","308","299","16","20231101083112","북강릉IC","37.835539","128.814811","남양양IC","37.914785","128.789914"
"202310","0650CZS150","1","349523","105.74","518","49283","802","11.29","0.02","539","515","500","27","20231101083112","하조대IC","38.022808","128.697523","남양양IC","37.914785","128.789914"
"202310","0650CZS140","1","345327","102.37","324","63332","21","4.46","0.01","334","325","316","12","20231101083112","남양양IC","37.914785","128.789914","북강릉IC","37.835539","128.814811"
"202310","0650CZE130","1","320033","103.58","251","42593","45","4.67","0.01","264","252","243","14","20231101083112","강릉JC","37.771561","128.835250","북강릉IC","37.835539","128.814811"
"202310","0650CZS130","1","364087","98.71","264","73701","14","3.69","0.01","269","265","256","9","20231101083112","북강릉IC","37.835539","128.814811","강릉JC","37.771561","128.835250"
"202310","0650CZE120","1","213990","103.83","93","14071","98","1.93","0.02","96","93","89","4","20231101083112","강릉IC","37.749654","128.839215","강릉JC","37.771561","128.835250"
"202310","0500CZE300","1","525571","93.82","865","89232","20","16.97","0.01","898","862","836","43","20231101083112","대관령IC","37.678728","128.694924","강릉JC","37.771561","128.835250"
"202310","0650CZS120","1","199537","106.34","91","14074","53","2.10","0.02","97","91","87","7","20231101083112","강릉JC","37.771561","128.835250","강릉IC","37.749654","128.839215"
"202310","0650CZE110","1","383310","104.90","281","89183","64","7.43","0.02","296","282","269","18","20231101083112","남강릉IC","37.694106","128.891343","강릉IC","37.749654","128.839215"
"202310","0650CZE090","1","402290","101.43","236","89205","45","3.65","0.01","243","236","229","9","20231101083112","망상IC","37.583227","129.093087","옥계IC","37.619269","129.037304"
"202310","0650CZS100","1","416089","103.49","621","89222","21","16.40","0.02","649","623","595","37","20231101083112","남강릉IC","37.694106","128.891343","옥계IC","37.619269","129.037304"
"202310","0650CZS090","1","403133","103.34","231","89212","38","3.09","0.01","236","231","225","7","20231101083112","옥계IC","37.619269","129.037304","망상IC","37.583227","129.093087"
"202310","0650CZE080","1","358347","104.26","285","84048","20","5.92","0.02","297","286","274","16","20231101083112","동해IC","37.507913","129.093687","망상IC","37.583227","129.093087"
"202310","0500CZS240","1","624027","86.34","712","89232","21","35.01","0.04","862","707","685","123","20231101083112","둔내IC","37.492752","128.205907","새말IC","37.446693","128.066967"
"202310","0500CZE230","1","685160","98.36","465","89232","20","20.23","0.04","524","464","440","58","20231101083112","원주IC","37.400894","127.950025","새말IC","37.446693","128.066967"
"202310","0500CZE240","1","565726","95.60","643","89232","21","14.34","0.02","671","643","618","37","20231101083112","새말IC","37.446693","128.066967","둔내IC","37.492752","128.205907"
"202310","0500CZS250","1","588997","95.63","274","89232","20","5.92","0.02","294","271","266","19","20231101083112","동둔내 하이패스IC","","","둔내IC","37.492752","128.205907"
"202310","0550CZS320","1","404627","98.91","945","89230","26","28.15","0.02","1003","951","889","79","20231101083112","홍천IC","37.678698","127.855078","횡성IC","37.504918","127.969983"
"202310","0550CZE310","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20231101083112","북원주IC","37.420608","127.923204","횡성IC","37.504918","127.969983"
"202310","0500CZS260","1","599580","86.23","254","88272","23","21.85","0.08","334","246","235","69","20231101083112","평창IC","37.589103","128.412783","면온IC","37.561411","128.365327"
"202310","0500CZE255","1","568882","93.28","358","89229","23","9.60","0.02","396","357","348","33","20231101083112","동둔내 하이패스IC","","","면온IC","37.561411","128.365327"
"202310","0500CZE260","1","547961","98.02","223","89119","59","12.53","0.05","269","221","211","40","20231101083112","면온IC","37.561411","128.365327","평창IC","37.589103","128.412783"
"202310","0500CZS270","1","599112","95.64","344","89233","20","6.96","0.02","368","343","335","23","20231101083112","속사IC","37.630499","128.489605","평창IC","37.589103","128.412783"
"202310","0500CZE270","1","551057","96.34","342","89233","20","8.05","0.02","369","342","328","28","20231101083112","평창IC","37.589103","128.412783","속사IC","37.630499","128.489605"
"202310","0500CZS280","1","555016","95.59","268","89228","24","18.61","0.06","356","265","256","70","20231101083112","진부IC","37.651615","128.561806","속사IC","37.630499","128.489605"
"202310","0500CZE280","1","560298","102.29","251","89226","25","4.93","0.01","266","252","242","16","20231101083112","속사IC","37.630499","128.489605","진부IC","37.651615","128.561806"
"202310","0500CZS290","1","534756","99.25","466","89229","20","19.85","0.04","561","463","450","77","20231101083112","대관령IC","37.678728","128.694924","진부IC","37.651615","128.561806"
"202310","0550CZE320","1","396329","97.34","960","89225","38","31.84","0.03","1012","975","901","77","20231101083112","횡성IC","37.504918","127.969983","홍천IC","37.678698","127.855078"
"202310","0550CZS330","1","358651","101.62","367","77699","138","8.21","0.02","385","365","355","21","20231101083112","춘천JC","37.755511","127.794879","홍천IC","37.678698","127.855078"
"202310","0500CZS300","1","531353","94.21","862","89134","20","21.15","0.02","902","863","827","52","20231101083112","강릉JC","37.771561","128.835250","대관령IC","37.678728","128.694924"
"202310","0500CZE290","1","499949","99.52","464","89229","20","7.63","0.01","477","464","448","20","20231101083112","진부IC","37.651615","128.561806","대관령IC","37.678728","128.694924"
"202310","0650CZS080","1","344084","100.76","295","78864","20","8.53","0.02","318","296","281","25","20231101083112","망상IC","37.583227","129.093087","동해IC","37.507913","129.093687"
"202310","0650CZE070","1","235270","102.29","306","16702","207","6.28","0.02","315","307","294","14","20231101083112","삼척IC","37.447716","129.135758","동해IC","37.507913","129.093687"
"202310","0450CZE170","1","934361","94.84","530","89220","25","47.49","0.08","742","531","471","189","20231101083112","점촌함창IC","36.586195","128.155053","문경새재IC","36.700597","128.111353"
"202310","0450CZS180","1","780707","93.10","565","89224","24","21.01","0.03","599","574","521","54","20231101083112","연풍IC","36.759048","127.992268","문경새재IC","36.700597","128.111353"
"202310","0450CZS170","1","829902","99.40","506","89148","26","28.24","0.05","555","507","458","67","20231101083112","문경새재IC","36.700597","128.111353","점촌함창IC","36.586195","128.155053"
"202310","0450CZE160","1","886509","99.68","269","89221","30","18.66","0.06","343","273","242","70","20231101083112","북상주IC","36.531143","128.169306","점촌함창IC","36.586195","128.155053"
"202310","0450CZS160","1","648740","100.93","266","89051","124","13.28","0.04","286","271","244","29","20231101083112","점촌함창IC","36.586195","128.155053","북상주IC","36.531143","128.169306"
"202310","0450CZE150","1","852585","100.86","465","89185","26","16.83","0.03","489","473","428","42","20231101083112","상주IC","36.423025","128.213262","북상주IC","36.531143","128.169306"
"202310","0550CZS200","1","398265","101.30","472","82978","22","10.22","0.02","490","472","457","23","20231101083112","예천IC","36.667837","128.541897","서안동IC","36.588635","128.626690"
"202310","0550CZE190","1","452253","102.19","528","89198","34","14.77","0.02","549","531","500","34","20231101083112","남안동IC","36.476202","128.621431","서안동IC","36.588635","128.626690"
"202310","0550CZE200","1","431840","101.76","470","88647","29","10.55","0.02","488","472","448","28","20231101083112","서안동IC","36.588635","128.626690","예천IC","36.667837","128.541897"
"202310","0550CZS210","1","385770","102.72","424","1727","1057","11.60","0.02","444","424","401","30","20231101083112","영주IC","36.769246","128.571629","예천IC","36.667837","128.541897"
"202310","0550CZE210","1","414777","108.97","399","288","8","9.49","0.02","414","400","383","21","20231101083112","예천IC","36.667837","128.541897","영주IC","36.769246","128.571629"
"202310","0550CZS220","1","278663","102.55","358","37409","94","9.08","0.02","372","361","343","20","20231101083112","풍기IC","36.852531","128.530415","영주IC","36.769246","128.571629"
"202310","0550CZE220","1","291270","100.92","363","42593","196","11.95","0.03","392","367","344","33","20231101083112","영주IC","36.769246","128.571629","풍기IC","36.852531","128.530415"
"202310","0550CZS230","1","412093","90.70","673","84036","38","32.66","0.04","747","678","624","86","20231101083112","단양IC","36.917949","128.364609","풍기IC","36.852531","128.530415"
"202310","0150CZS220","1","673022","104.29","472","89227","41","12.44","0.02","506","474","447","41","20231101083112","해미IC","36.712085","126.562422","홍성IC","36.592158","126.560116"
"202310","0150CZE210","1","603988","105.31","369","89216","34","16.76","0.04","442","369","349","65","20231101083112","광천IC","36.498248","126.585146","홍성IC","36.592158","126.560116"
"202310","0252CZE070","1","1147711","86.49","582","8925","0","146.33","0.24","1250","551","522","509","20231101083112","북공주JC","36.509699","127.110916","정안IC","36.625082","127.120398"
"202310","0150CZE220","1","703008","102.97","478","89221","41","14.83","0.03","523","482","448","52","20231101083112","홍성IC","36.592158","126.560116","해미IC","36.712085","126.562422"
"202310","0150CZS230","1","603926","102.42","376","89144","29","9.10","0.02","393","378","361","22","20231101083112","서산IC","36.806738","126.571499","해미IC","36.712085","126.562422"
"202310","0252CZS090","1","1019651","91.95","97","8924","0","3.22","0.03","103","98","91","8","20231101083112","천안JC","36.768988","127.181976","남천안IC","36.754160","127.164963"
"202310","0010CZS360","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20231101083112","천안JC","36.768988","127.181976","목천IC","36.759960","127.217637"
"202310","0010CZS360","2","92","113.01","112","0","8","2.13","0.02","114","112","110","2","20231101083112","천안JC","36.768988","127.181976","목천IC","36.759960","127.217637"
"202310","0010CZE357","2","44096","99.95","497","16800","0","8.98","0.01","509","500","485","16","20231101083112","옥산JC","","","목천IC","36.759960","127.217637"
"202310","0010CZE357","1","1609190","84.13","590","89236","44","43.93","0.07","691","585","536","108","20231101083112","옥산JC","","","목천IC","36.759960","127.217637"
"202310","0252CZE090","1","1176878","89.22","100","8923","0","11.21","0.11","143","97","92","35","20231101083112","남천안IC","36.754160","127.164963","천안JC","36.768988","127.181976"
"202310","0010CZE360","1","-1","0.00","-1","0","0","0.00","0.00","0","0","0","0","20231101083112","목천IC","36.759960","127.217637","천안JC","36.768988","127.181976"
"202310","0010CZE360","2","80","115.97","109","0","8","4.81","0.05","114","109","105","6","20231101083112","목천IC","36.759960","127.217637","천안JC","36.768988","127.181976"
"202310","0010CZS370","1","2653440","90.42","266","88331","33","17.79","0.06","319","263","242","53","20231101083112","천안IC","36.826230","127.168773","천안JC","36.768988","127.181976"
"202310","0010CZS370","2","57967","107.74","223","16800","0","11.21","0.05","248","219","214","23","20231101083112","천안IC","36.826230","127.168773","천안JC","36.768988","127.181976"
"202310","0321CZE030","1","312691","87.96","169","50319","143","3.66","0.02","175","169","162","9","20231101083112","서천안IC","","","천안JC","36.768988","127.181976"
"202310","0150CZE230","1","682109","102.32","377","89177","38","17.90","0.04","460","376","362","68","20231101083112","해미IC","36.712085","126.562422","서산IC","36.806738","126.571499"
"202310","0150CZS240","1","757819","92.22","256","89201","38","12.19","0.04","288","255","235","37","20231101083112","당진JC","36.851018","126.618518","서산IC","36.806738","126.571499"
"202310","0010CZE370","1","2730905","98.26","245","88326","33","6.83","0.02","269","243","237","22","20231101083112","천안JC","36.768988","127.181976","천안IC","36.826230","127.168773"
"202310","0010CZE370","2","56880","114.92","209","16800","0","2.48","0.01","213","209","206","4","20231101083112","천안JC","36.768988","127.181976","천안IC","36.826230","127.168773"
"202310","0010CZS380","1","2597420","87.72","343","89235","43","10.68","0.03","366","343","318","33","20231101083112","북천안IC","36.917526","127.188910","천안IC","36.826230","127.168773"
"202310","0010CZS380","2","57803","100.92","298","16800","0","8.76","0.02","315","296","287","19","20231101083112","북천안IC","36.917526","127.188910","천안IC","36.826230","127.168773"
"202310","0150CZE240","1","891649","97.52","242","89232","44","5.09","0.02","251","244","233","12","20231101083112","서산IC","36.806738","126.571499","당진JC","36.851018","126.618518"
"202310","0150CZS250","1","956558","107.34","314","7934","0","8.87","0.02","329","315","298","21","20231101083112","당진IC","36.892471","126.706619","당진JC","36.851018","126.618518"
"202310","0301CZS010","1","314265","98.84","147","55542","77","6.08","0.04","156","149","136","14","20231101083112","면천IC","36.823411","126.647532","당진JC","36.851018","126.618518"
"202310","0150CZE250","1","1238483","93.61","360","83666","29","89.89","0.24","759","342","335","296","20231101083112","당진JC","36.851018","126.618518","당진IC","36.892471","126.706619"
"202310","0150CZS260","1","1329984","93.87","309","89219","61","9.18","0.02","335","309","295","28","20231101083112","송악IC","36.934002","126.780016","당진IC","36.892471","126.706619"
"202310","0150CZE260","1","1223771","87.91","330","89219","61","92.02","0.26","706","301","291","290","20231101083112","당진IC","36.892471","126.706619","송악IC","36.934002","126.780016"
"202310","0150CZS270","1","1568264","88.25","515","89256","24","48.18","0.09","625","507","460","115","20231101083112","서평택IC","36.998078","126.869107","송악IC","36.934002","126.780016"
