콘존ID,콘존길이,기점종점방향구분코드,시작노드ID,종료노드ID,차로수,노선번호,제한속도,노선구성순번,콘존명,버스전용차로유무,도로등급구분코드
0010CZE005,200,E,491,4,3,10,100,1,경부고속국도시점-구서IC,0,101
0010CZE010,1820,E,4,446,3,10,100,2,구서IC-영락IC,0,101
0010CZE011,1990,E,446,486,3,10,100,3,영락IC-부산TG,0,101
0010CZE020,1070,E,486,447,3,10,100,4,부산TG-노포,0,101
0010CZE030,7780,E,447,669,3,10,100,5,노포IC-노포JC,0,101
0010CZE035,7280,E,669,155,2,10,100,6,노포JC-양산JC,0,101
0010CZE040,5080,E,155,453,4,10,100,7,양산JC-양산IC,0,101
0010CZE050,14110,E,453,652,3,10,100,8,양산IC-통도사Hi,0,101
0010CZE055,1,E,652,160,3,10,100,9,통도사Hi-서울산IC,0,101
0010CZE060,1010,E,160,1027,3,10,100,10,통도사IC-서울주JC,0,101
0010CZE065,5420,E,1027,203,3,10,100,11,서울주JC-서울산IC,0,101
0010CZE070,1630,E,203,204,3,10,100,12,서울산IC-언양JC,0,101
0010CZE080,17090,E,204,635,3,10,100,13,언양JC-활천IC,0,101
0010CZE085,11060,E,635,8,2,10,100,14,활천IC-경주IC,0,101
0010CZE090,10400,E,8,9,3,10,100,15,경주IC-건천IC,0,101
0010CZE100,12180,E,9,1012,3,10,100,16,건천IC-영천JC,0,101
0010CZE105,5550,E,1012,116,2,10,100,17,영천JC-영천IC,0,101
0010CZE110,16450,E,116,115,3,10,100,18,영천IC-경산IC,0,101
0010CZE120,9260,E,115,10,4,10,100,19,경산IC-동대구JC,0,101
0010CZE130,4090,E,10,18,4,10,100,20,동대구JC-도동JC,0,101
0010CZE140,7680,E,18,12,4,10,100,21,도동JC-북대구IC,0,101
0010CZE150,5480,E,12,13,4,10,100,22,북대구IC-금호JC,0,101
0010CZE160,4050,E,13,1051,4,10,100,23,금호JC-칠곡JC,0,101
0010CZE165,6690,E,1051,464,4,10,100,24,칠곡JC-칠곡물류IC,0,101
0010CZE170,3180,E,464,117,4,10,100,25,칠곡물류IC-왜관IC,0,101
0010CZE180,13980,E,117,120,4,10,100,26,왜관IC-남구미IC,0,101
0010CZE190,5070,E,120,122,4,10,100,27,남구미IC-구미IC,0,101
0010CZE200,6960,E,122,1045,4,10,100,28,구미IC-북구미하이패스IC,0,101
0010CZE205,3900,E,1045,80,4,10,100,29,북구미하이패스IC-김천JC,0,101
0010CZE210,9120,E,80,563,3,10,100,30,김천JC-동김천IC,0,101
0010CZE215,7970,E,563,123,3,10,100,31,동김천IC-김천IC,0,101
0010CZE220,12030,E,123,82,3,10,100,32,김천IC-추풍령IC,0,101
0010CZE230,10080,E,82,96,3,10,100,33,추풍령IC-황간IC,0,101
0010CZE240,9890,E,96,95,3,10,100,34,황간IC-영동IC,0,101
0010CZE250,16040,E,95,463,3,10,100,35,영동IC-금강IC,0,101
0010CZE260,11400,E,463,21,3,10,100,36,금강IC-옥천IC,0,101
0010CZE270,8670,E,21,108,3,10,100,37,옥천IC-비룡JC,0,101
0010CZE280,4060,E,108,100,3,10,100,38,비룡JC-대전IC,0,101
0010CZE290,5450,E,100,102,3,10,100,39,대전IC-회덕JC,0,101
0010CZE300,5090,E,102,104,4,10,100,40,회덕JC-신탄진IC,0,101
0010CZE310,10070,E,104,68,4,10,100,41,신탄진IC-남청주IC,1,101
0010CZE320,3550,E,68,362,4,10,100,42,남청주IC-청주JC,1,101
0010CZE330,3890,E,362,67,3,10,100,43,청주JC-남이JC,1,101
0010CZE340,4620,E,67,66,3,10,100,44,남이JC-청주IC,1,101
0010CZE350,3490,E,66,649,3,10,100,45,청주IC-옥산IC,1,101
0010CZE355,7500,E,649,673,3,10,100,46,옥산IC-옥산JC,1,101
0010CZE357,13810,E,673,49,3,10,100,47,옥산JC-독립기념관IC,1,101
0010CZE360,3530,E,49,50,3,10,100,48,독립기념관IC-천안JC,1,101
0010CZE370,6700,E,50,52,4,10,100,49,천안JC-천안IC,1,101
0010CZE380,8360,E,52,562,4,10,110,50,천안IC-북천안IC,1,101
0010CZE385,11610,E,562,247,4,10,110,51,북천안IC-안성IC,1,101
0010CZE390,4830,E,247,300,4,10,110,52,안성IC-안성JC,1,101
0010CZE400,7960,E,300,1063,4,10,110,53,안성JC-남사진위IC,1,101
0010CZE405,5310,E,1063,244,4,10,110,54,남사진위IC-오산IC,1,101
0010CZE410,3890,E,244,432,4,10,110,55,오산IC-동탄JC,1,101
0010CZE420,4390,E,432,462,4,10,110,56,동탄JC-기흥동탄IC,1,101
0010CZE430,700,E,462,308,5,10,110,57,기흥동탄IC-기흥IC,1,101
0010CZE440,5090,E,308,305,5,10,110,58,기흥IC-수원신갈IC,1,101
0010CZE450,2680,E,305,309,5,10,110,59,수원신갈IC-신갈JC,1,101
0010CZE460,8340,E,309,280,5,10,110,60,신갈JC-서울TG,1,101
0010CZE470,3640,E,280,274,5,10,110,61,서울TG-판교IC,1,101
0010CZE480,1100,E,274,273,5,10,110,62,판교IC-판교JC,1,101
0010CZE490,390,E,273,460,5,10,110,63,판교JC-대왕판교IC,1,101
0010CZE500,870,E,460,681,5,10,110,64,대왕판교IC-금토JC,1,101
0010CZE505,6750,E,681,238,5,10,100,65,금토JC-양재IC,0,101
0010CZE510,2490,E,238,237,4,10,100,66,양재IC-서초IC,1,101
0010CZE520,1780,E,237,233,4,10,100,67,서초IC-반포IC,1,101
0010CZE521,1380,E,233,487,4,10,100,68,반포IC-잠원IC,1,101
0010CZE522,1300,E,487,476,4,10,100,69,잠원IC-한남IC,1,101
0010CZS005,200,S,4,491,3,10,100,69,구서IC-경부고속국도시점,0,101
0010CZS010,1820,S,446,4,3,10,100,68,영락IC-구서IC,0,101
0010CZS011,1990,S,486,446,3,10,100,67,부산TG-영락IC,0,101
0010CZS020,1070,S,447,486,3,10,100,66,노포IC-부산TG,0,101
0010CZS030,7780,S,669,447,3,10,100,65,노포JC-노포IC,0,101
0010CZS035,7280,S,155,669,2,10,100,64,양산JC-노포JC,0,101
0010CZS040,5080,S,453,155,4,10,100,63,양산IC-양산JC,0,101
0010CZS050,14110,S,652,453,3,10,100,62,통도사Hi-양산IC,0,101
0010CZS055,1050,S,160,652,3,10,100,61,통도사IC-통도사Hi,0,101
0010CZS060,1010,S,1027,160,3,10,100,60,서울주JC-통도사IC,0,101
0010CZS065,5420,S,203,1027,3,10,100,59,서울산IC-서울주JC,0,101
0010CZS070,1630,S,204,203,3,10,100,58,언양JC-서울산IC,0,101
0010CZS080,17090,S,635,204,3,10,100,57,활천IC-언양JC,0,101
0010CZS085,11060,S,8,635,2,10,100,56,경주IC-활천IC,0,101
0010CZS090,10400,S,9,8,3,10,100,55,건천IC-경주IC,0,101
