노선번호,도로명,도로등급구분코드,시작노드ID,종료노드ID,도로단축명,도로표출명,시점명,종점명,소통원활기준속도,정체기준속도
0010,경부선,101,0491,0476,경부선,경부,부산,서울,80.00,40.00
0100,남해선(순천-부산),101,0222,0003,남해선,남해,순천,부산,80.00,40.00
0101,남해선(영암-순천),101,0548,0561,남해선,남해선,영암,순천,80.00,40.00
0105,부산신항선,109,0620,0624,부산신항선,부산신항,신항,김해,80.00,40.00
0120,광주대구선,101,0197,0016,광주대구선,광주대구,광주,대구,80.00,40.00
0121,무안광주선,101,0361,0471,무안광주선,무안광주,무안,광주,80.00,40.00
0140,고창담양선,101,0373,0347,고창담양선,고창담양,고창,담양,80.00,40.00
0141,함양울산선,101,1025,1028,함양울산선,함양울산,함양,울산,80.00,40.00
0150,서해안선,101,0192,0231,서해안선,서해안,목포,서울,80.00,40.00
0153,평택시흥선,109,0303,0569,평택시흥선,평택시흥,평택,시흥,80.00,40.00
0160,울산선,101,0204,0444,울산선,울산,언양,울산,80.00,40.00
0170,평택화성선,109,0427,0424,평택화성선,평택화성,오성,안녕,80.00,40.00
0171,오산화성선,109,0431,0434,오산화성선,오산화성선,서오산JC,안녕,80.00,40.00
0172,서울문산선,109,1014,1023,서울문산선,서울문산,서울,문산,80.00,40.00
0173,서울문산지선,109,1024,1015,서울문산지선,서울문산지선,남고양,봉대산,50.00,30.00
0174,수원광명선,109,0305,0323,수원광명선,수원광명,수원,광명,80.00,40.00
0200,대구포항선,101,0018,0119,대구포항선,대구포항,대구,포항,80.00,40.00
0201,익산장수선,101,0370,0184,익산장수선,익산장수,익산,장수,80.00,40.00
0251,호남선,101,0222,0170,호남선,호남,순천,천안,80.00,40.00
0252,논산천안선,109,0170,0050,논산천안선,논산천안,논산,천안,80.00,40.00
0270,순천완주선,101,0546,0547,순천완주선,순천완주,순천,완주,80.00,40.00
0290,구리포천선,108,0636,0645,구리포천선,구리포천,구리,포천,80.00,40.00
0300,청주영덕선,101,0362,0618,청주영덕선,청주영덕,청주,영덕,80.00,40.00
0301,당진대전선,101,0053,0421,당진대전선,당진대전,당진,대전,80.00,40.00
0320,옥산오창선,109,0673,0675,옥산오창선,옥산오창,옥산,오창,80.00,40.00
0321,당진청주선(아산-천안),101,1072,0050,당진청주선,당진청주,당진,청주,80.00,40.00
0351,통영대전선,101,0229,0108,통영대전선,통영대전,통영,대전,80.00,40.00
0352,중부선,101,0067,0253,중부선,중부,남이,하남,80.00,40.00
0370,제2중부선,101,0264,0265,제2중부선,제2중부,이천,하남,80.00,40.00
0400,평택제천선,101,0303,0578,평택제천선,평택제천,평택,제천,80.00,40.00
0450,중부내륙선,101,0144,0565,중부내륙선,중부내륙,창원,양평,80.00,40.00
0500,영동선,101,0287,0024,영동선,영동,인천,강릉,80.00,40.00
0520,광주원주선,109,0596,0604,광주원주선,광주원주,광주,원주,80.00,40.00
0550,중앙선,101,0005,0457,중앙선,중앙,부산,춘천,80.00,40.00
0552,대구부산선,109,0147,0010,대구부산선,대구부산,부산,대구,80.00,40.00
0600,서울양양선,101,0235,0605,서울양양선,서울양양,서울,양양,80.00,40.00
0650,동해선(삼척-속초),101,0594,0607,동해선,동해,삼척,속초,80.00,40.00
0651,부산울산선,108,0386,0405,부산울산선,부산울산,부산,울산,80.00,40.00
0652,동해선(부산-포항),101,0405,0583,동해선,동해,부산,포항,80.00,40.00
0700,대구외곽순환선,101,1047,0010,대구외곽선,대구외곽,달서,상매,50.00,30.00
1000,수도권제1순환선,101,0273,0263,서울외곽선,서울외곽,판교-일산,판교-구리,80.00,40.00
1020,남해1지선,101,0124,0145,남해1지선,남해1지,함안,창원,80.00,40.00
1040,남해2지선,101,0139,0007,남해2지선,남해2지,김해,서부산,80.00,40.00
1100,제2경인선,101,0285,0324,제2경인선,제2경인,인천,성남,80.00,40.00
1102,인천대교선,109,0435,0441,인천대교선,인천대교,공항,송도,80.00,40.00
1103,인천대교지선,109,438 ,0439,인천대교지선,인천대교지선,연수,송도,80.00,40.00
1200,경인선,101,0284,0234,경인선,경인,인천,서울,80.00,40.00
1201,서울제물포선,109,0234,1033,서울제물포선,서울제물포,제물포,서울,80.00,40.00
1300,인천공항선,109,0478,0282,인천공항선,인천공항,공항,서울,80.00,40.00
1510,서천공주선,101,0481,0412,서천공주선,서천공주,서천,공주,80.00,40.00
1710,용인서울선,109,0397,0394,용인서울선,용인서울,용인,서울,80.00,40.00
2510,호남지선,101,0170,0102,호남지선,호남지,논산,대전,80.00,40.00
3000,대전남부선,101,0099,0106,대전남부선,대전남부,서대전,산내,80.00,40.00
3010,상주영천선,109,0369,1012,상주영천선,상주영천,상주,영천,80.00,40.00
3300,제3경인선,109,0505,0315,제3경인선,제3경인,인천,시흥,80.00,40.00
4000,봉담동탄선,109,0432,0431,봉담동탄선,봉담동탄,동탄,봉담,80.00,40.00
4001,인천김포선,109,0625,0630,인천김포선,인천김포,인천,김포,80.00,40.00
4002,구리포천지선,108,0642,0647,구리포천지선,구리포천지,양주,소흘,80.00,40.00
4003,봉담송산선,109,1034,1044,봉담송산선,봉담송산,봉담,송산,80.00,40.00
4004,화성광주선,109,0684,0691,화성광주선,화성광주,화성광주선시점,곤지암JC,80.00,40.00
4005,수도권제2순환선(화도-양평),101,0565,1068,수도권제2순환선,수도권제2순환,양평,화도,80.00,40.00
4006,수도권제2순환선(시화MTV),109,1075,1076,시화MTV,시화MTV,시화,안산,80.00,40.00
4510,중부내륙지선,101,0354,0013,중부내륙지선,중부내륙지,창원,대구,80.00,40.00
5000,광주외곽순환선,101,1064,1066,광주외곽선,광주외곽,남광산,남장성,80.00,40.00
5510,중앙선지선,101,0147,0155,중앙지선,중앙지,김해,양산,80.00,40.00
6000,부산외곽선,101,0663,0445,부산외곽,부산외곽선,창원,기장,80.00,40.00
